,IDSV,F_DIEM4,IDMH,F_NGAY
0,233014,4.0,7939,10/23/2019 15:08:58
1,232330,3.5,6168,12/17/2019 00:20:31
2,232137,4.0,5752,12/17/2019 20:20:38
3,232179,4.0,5752,12/17/2019 20:20:48
4,232272,3.5,5464,12/16/2019 08:32:39
5,232268,4.0,5447,12/16/2019 07:17:14
6,232206,3.5,5477,12/15/2019 10:13:45
7,232034,3.5,6063,12/11/2019 15:24:37
8,236915,3.5,15228,12/6/2019 11:27:14
9,235720,4.0,14232,11/22/2019 15:29:59
10,234846,3.5,13689,11/28/2019 14:45:50
11,234823,3.0,13758,12/2/2019 09:19:31
12,234875,3.5,98,12/12/2019 09:58:57
13,235336,3.5,13034,12/2/2019 16:15:04
14,235147,3.0,12717,10/17/2019 09:48:20
15,235436,2.5,13236,11/25/2019 10:51:46
16,235160,3.0,12716,10/17/2019 09:36:40
17,235945,3.5,14184,12/12/2019 16:46:01
18,234933,4.0,13263,12/10/2019 19:43:01
19,234937,3.5,13244,12/15/2019 21:20:07
20,242608,3.0,4036,12/13/2019 14:16:01
21,242651,3.0,3632,12/13/2019 09:47:48
22,234108,3.5,9350,11/29/2019 14:20:08
23,236290,3.0,14550,11/28/2019 14:05:16
24,226083,4.0,456,12/11/2019 09:18:27
25,235394,4.0,105,12/12/2019 11:26:15
26,227037,3.5,12280,12/12/2019 22:20:33
27,227060,3.5,12280,12/12/2019 22:02:34
28,236225,3.5,14618,12/12/2019 15:44:36
29,242514,4.0,4257,12/16/2019 15:00:01
30,242959,3.5,4316,12/6/2019 09:22:27
31,242703,3.5,3832,12/15/2019 22:10:23
32,223082,1.0,12926,12/2/2019 08:57:48
33,222951,1.0,12911,12/14/2019 10:37:23
34,222879,3.5,12944,12/1/2019 15:27:52
35,223766,1.0,14108,12/11/2019 12:15:51
36,227949,4.0,2005,11/27/2019 21:56:53
37,227832,4.0,1210,12/2/2019 22:43:52
38,236806,1.0,15219,12/14/2019 14:09:21
39,227933,3.5,1993,11/13/2019 14:44:42
40,227847,3.5,1170,12/15/2019 16:53:11
41,236707,2.0,15341,12/5/2019 10:49:35
42,227812,3.5,1193,11/26/2019 18:59:16
43,236761,1.5,15219,12/14/2019 14:09:19
44,227749,3.5,2004,12/15/2019 19:59:21
45,227846,3.0,1166,12/15/2019 21:59:36
46,227833,3.0,1184,12/6/2019 11:02:31
47,228003,3.5,2079,12/4/2019 07:48:30
48,236830,2.0,15220,12/3/2019 09:19:41
49,228019,3.0,2058,12/1/2019 09:58:11
50,227831,4.0,1198,12/6/2019 16:59:04
51,229677,3.5,3146,11/29/2019 10:25:32
52,229486,4.0,2685,12/12/2019 17:46:16
53,229584,2.0,3153,12/15/2019 09:03:34
54,227075,3.0,12449,12/3/2019 15:03:17
55,227104,3.5,11578,12/14/2019 10:25:03
56,227137,4.0,12453,12/6/2019 16:55:37
57,231336,2.5,4983,12/15/2019 17:41:31
58,231380,2.5,4983,12/15/2019 06:36:49
59,228792,4.0,12453,11/21/2019 14:50:36
60,228563,4.0,2416,12/14/2019 22:43:55
61,231668,3.0,5017,12/10/2019 16:29:35
62,231623,4.0,4954,11/26/2019 18:41:05
63,231336,3.0,4822,12/12/2019 21:28:42
64,222523,1.5,13350,12/15/2019 19:17:22
65,236896,2.0,11272,12/9/2019 11:28:54
66,212317,1.5,11593,12/6/2019 21:04:20
67,230767,4.0,15152,12/6/2019 14:45:14
68,231564,3.0,4798,12/10/2019 09:47:53
69,227818,4.0,1198,12/6/2019 16:51:56
70,236957,4.0,15175,12/9/2019 21:09:56
71,231735,3.0,5327,11/29/2019 05:59:23
72,231910,0.0,5175,12/3/2019 15:30:16
73,226134,3.0,585,12/11/2019 09:37:01
74,231832,3.5,5331,12/5/2019 09:38:34
75,231731,2.5,5328,12/5/2019 09:34:36
76,241572,3.5,1906,12/6/2019 10:48:22
77,231730,3.0,5329,11/20/2019 15:58:51
78,231843,2.0,5356,12/11/2019 07:44:32
79,235486,4.0,13844,12/8/2019 14:04:39
80,235116,2.5,14355,12/15/2019 02:32:32
81,235026,2.5,14350,12/15/2019 00:54:52
82,226002,4.0,723,12/8/2019 20:48:45
83,225990,3.5,723,12/8/2019 20:48:45
84,225166,4.0,230,12/14/2019 08:23:00
85,231913,2.0,11272,12/2/2019 08:43:57
86,227210,2.0,12294,12/10/2019 12:25:03
87,227233,4.0,12427,10/23/2019 17:49:49
88,226936,4.0,11599,12/6/2019 23:39:43
89,223736,1.0,12424,12/9/2019 14:43:42
90,227141,3.0,12362,12/5/2019 09:32:44
91,235709,3.5,14294,12/12/2019 14:47:51
92,235135,2.5,14350,12/15/2019 00:54:58
93,234758,4.0,13708,12/14/2019 09:43:20
94,235500,3.5,13889,12/10/2019 08:38:56
95,235664,2.0,14144,12/13/2019 15:39:01
96,199950,2.5,4983,12/15/2019 06:36:48
97,215998,2.5,4081,11/18/2019 14:23:44
98,199938,3.0,4571,12/2/2019 10:59:37
